"fad_class","time_start","time_end","geom_wkt","number_of_days","number_of_fad"
"B",2007-12-01,2007-12-31,"POLYGON ((75.0000000000000000 -5.0000000000000000, 75.0000000000000000 0.0000000000000000, 80.0000000000000000 0.0000000000000000, 80.0000000000000000 -5.0000000000000000, 75.0000000000000000 -5.0000000000000000))",1,1
"B",2008-01-01,2008-01-31,"POLYGON ((-10.0000000000000000 -5.0000000000000000, -10.0000000000000000 0.0000000000000000, -5.0000000000000000 0.0000000000000000, -5.0000000000000000 -5.0000000000000000, -10.0000000000000000 -5.0000000000000000))",1,1
"B",2008-01-01,2008-01-31,"POLYGON ((50.0000000000000000 -10.0000000000000000, 50.0000000000000000 -5.0000000000000000, 55.0000000000000000 -5.0000000000000000, 55.0000000000000000 -10.0000000000000000, 50.0000000000000000 -10.0000000000000000))",1,1
"B",2008-01-01,2008-01-31,"POLYGON ((55.0000000000000000 -10.0000000000000000, 55.0000000000000000 -5.0000000000000000, 60.0000000000000000 -5.0000000000000000, 60.0000000000000000 -10.0000000000000000, 55.0000000000000000 -10.0000000000000000))",1,1
"B",2008-01-01,2008-01-31,"POLYGON ((60.0000000000000000 5.0000000000000000, 60.0000000000000000 10.0000000000000000, 65.0000000000000000 10.0000000000000000, 65.0000000000000000 5.0000000000000000, 60.0000000000000000 5.0000000000000000))",1,1
"B",2008-01-01,2008-01-31,"POLYGON ((65.0000000000000000 -10.0000000000000000, 65.0000000000000000 -5.0000000000000000, 70.0000000000000000 -5.0000000000000000, 70.0000000000000000 -10.0000000000000000, 65.0000000000000000 -10.0000000000000000))",1,1
"B",2008-02-01,2008-02-29,"POLYGON ((-5.0000000000000000 0.0000000000000000, -5.0000000000000000 5.0000000000000000, 0.0000000000000000 5.0000000000000000, 0.0000000000000000 0.0000000000000000, -5.0000000000000000 0.0000000000000000))",1,1
"B",2008-02-01,2008-02-29,"POLYGON ((55.0000000000000000 -5.0000000000000000, 55.0000000000000000 0.0000000000000000, 60.0000000000000000 0.0000000000000000, 60.0000000000000000 -5.0000000000000000, 55.0000000000000000 -5.0000000000000000))",1,1
"B",2008-02-01,2008-02-29,"POLYGON ((60.0000000000000000 -5.0000000000000000, 60.0000000000000000 0.0000000000000000, 65.0000000000000000 0.0000000000000000, 65.0000000000000000 -5.0000000000000000, 60.0000000000000000 -5.0000000000000000))",1,1
"B",2008-02-01,2008-02-29,"POLYGON ((70.0000000000000000 -10.0000000000000000, 70.0000000000000000 -5.0000000000000000, 75.0000000000000000 -5.0000000000000000, 75.0000000000000000 -10.0000000000000000, 70.0000000000000000 -10.0000000000000000))",1,1
"B",2008-05-01,2008-05-31,"POLYGON ((40.0000000000000000 -20.0000000000000000, 40.0000000000000000 -15.0000000000000000, 45.0000000000000000 -15.0000000000000000, 45.0000000000000000 -20.0000000000000000, 40.0000000000000000 -20.0000000000000000))",1,1
"B",2008-06-01,2008-06-30,"POLYGON ((35.0000000000000000 -5.0000000000000000, 35.0000000000000000 0.0000000000000000, 40.0000000000000000 0.0000000000000000, 40.0000000000000000 -5.0000000000000000, 35.0000000000000000 -5.0000000000000000))",1,1
"B",2008-06-01,2008-06-30,"POLYGON ((45.0000000000000000 -15.0000000000000000, 45.0000000000000000 -10.0000000000000000, 50.0000000000000000 -10.0000000000000000, 50.0000000000000000 -15.0000000000000000, 45.0000000000000000 -15.0000000000000000))",1,1
"B",2008-06-01,2008-06-30,"POLYGON ((50.0000000000000000 5.0000000000000000, 50.0000000000000000 10.0000000000000000, 55.0000000000000000 10.0000000000000000, 55.0000000000000000 5.0000000000000000, 50.0000000000000000 5.0000000000000000))",1,1
"B",2008-07-01,2008-07-31,"POLYGON ((40.0000000000000000 -15.0000000000000000, 40.0000000000000000 -10.0000000000000000, 45.0000000000000000 -10.0000000000000000, 45.0000000000000000 -15.0000000000000000, 40.0000000000000000 -15.0000000000000000))",1,1
"B",2008-07-01,2008-07-31,"POLYGON ((50.0000000000000000 -10.0000000000000000, 50.0000000000000000 -5.0000000000000000, 55.0000000000000000 -5.0000000000000000, 55.0000000000000000 -10.0000000000000000, 50.0000000000000000 -10.0000000000000000))",1,1
"B",2008-07-01,2008-07-31,"POLYGON ((5.0000000000000000 -5.0000000000000000, 5.0000000000000000 0.0000000000000000, 10.0000000000000000 0.0000000000000000, 10.0000000000000000 -5.0000000000000000, 5.0000000000000000 -5.0000000000000000))",1,1
"B",2008-07-01,2008-07-31,"POLYGON ((55.0000000000000000 -5.0000000000000000, 55.0000000000000000 0.0000000000000000, 60.0000000000000000 0.0000000000000000, 60.0000000000000000 -5.0000000000000000, 55.0000000000000000 -5.0000000000000000))",1,1
"B",2008-08-01,2008-08-31,"POLYGON ((40.0000000000000000 -5.0000000000000000, 40.0000000000000000 0.0000000000000000, 45.0000000000000000 0.0000000000000000, 45.0000000000000000 -5.0000000000000000, 40.0000000000000000 -5.0000000000000000))",1,1
"B",2008-08-01,2008-08-31,"POLYGON ((55.0000000000000000 0.0000000000000000, 55.0000000000000000 5.0000000000000000, 60.0000000000000000 5.0000000000000000, 60.0000000000000000 0.0000000000000000, 55.0000000000000000 0.0000000000000000))",1,1
"B",2008-08-01,2008-08-31,"POLYGON ((55.0000000000000000 -5.0000000000000000, 55.0000000000000000 0.0000000000000000, 60.0000000000000000 0.0000000000000000, 60.0000000000000000 -5.0000000000000000, 55.0000000000000000 -5.0000000000000000))",1,1
"B",2008-09-01,2008-09-30,"POLYGON ((50.0000000000000000 0.0000000000000000, 50.0000000000000000 5.0000000000000000, 55.0000000000000000 5.0000000000000000, 55.0000000000000000 0.0000000000000000, 50.0000000000000000 0.0000000000000000))",1,1
"B",2008-09-01,2008-09-30,"POLYGON ((55.0000000000000000 0.0000000000000000, 55.0000000000000000 5.0000000000000000, 60.0000000000000000 5.0000000000000000, 60.0000000000000000 0.0000000000000000, 55.0000000000000000 0.0000000000000000))",1,1
"B",2008-09-01,2008-09-30,"POLYGON ((55.0000000000000000 -5.0000000000000000, 55.0000000000000000 0.0000000000000000, 60.0000000000000000 0.0000000000000000, 60.0000000000000000 -5.0000000000000000, 55.0000000000000000 -5.0000000000000000))",1,3
"B",2008-10-01,2008-10-31,"POLYGON ((45.0000000000000000 5.0000000000000000, 45.0000000000000000 10.0000000000000000, 50.0000000000000000 10.0000000000000000, 50.0000000000000000 5.0000000000000000, 45.0000000000000000 5.0000000000000000))",1,1
"B",2008-10-01,2008-10-31,"POLYGON ((55.0000000000000000 0.0000000000000000, 55.0000000000000000 5.0000000000000000, 60.0000000000000000 5.0000000000000000, 60.0000000000000000 0.0000000000000000, 55.0000000000000000 0.0000000000000000))",1,2
"B",2008-10-01,2008-10-31,"POLYGON ((55.0000000000000000 -5.0000000000000000, 55.0000000000000000 0.0000000000000000, 60.0000000000000000 0.0000000000000000, 60.0000000000000000 -5.0000000000000000, 55.0000000000000000 -5.0000000000000000))",1,2
"B",2008-11-01,2008-11-30,"POLYGON ((55.0000000000000000 -10.0000000000000000, 55.0000000000000000 -5.0000000000000000, 60.0000000000000000 -5.0000000000000000, 60.0000000000000000 -10.0000000000000000, 55.0000000000000000 -10.0000000000000000))",1,1
"B",2008-11-01,2008-11-30,"POLYGON ((60.0000000000000000 -10.0000000000000000, 60.0000000000000000 -5.0000000000000000, 65.0000000000000000 -5.0000000000000000, 65.0000000000000000 -10.0000000000000000, 60.0000000000000000 -10.0000000000000000))",1,1
"B",2008-12-01,2008-12-31,"POLYGON ((-15.0000000000000000 0.0000000000000000, -15.0000000000000000 5.0000000000000000, -10.0000000000000000 5.0000000000000000, -10.0000000000000000 0.0000000000000000, -15.0000000000000000 0.0000000000000000))",1,1
"B",2008-12-01,2008-12-31,"POLYGON ((50.0000000000000000 -10.0000000000000000, 50.0000000000000000 -5.0000000000000000, 55.0000000000000000 -5.0000000000000000, 55.0000000000000000 -10.0000000000000000, 50.0000000000000000 -10.0000000000000000))",1,2
"B",2008-12-01,2008-12-31,"POLYGON ((55.0000000000000000 -10.0000000000000000, 55.0000000000000000 -5.0000000000000000, 60.0000000000000000 -5.0000000000000000, 60.0000000000000000 -10.0000000000000000, 55.0000000000000000 -10.0000000000000000))",1,1
"B",2008-12-01,2008-12-31,"POLYGON ((60.0000000000000000 -10.0000000000000000, 60.0000000000000000 -5.0000000000000000, 65.0000000000000000 -5.0000000000000000, 65.0000000000000000 -10.0000000000000000, 60.0000000000000000 -10.0000000000000000))",1,1
"B",2009-02-01,2009-02-28,"POLYGON ((50.0000000000000000 -10.0000000000000000, 50.0000000000000000 -5.0000000000000000, 55.0000000000000000 -5.0000000000000000, 55.0000000000000000 -10.0000000000000000, 50.0000000000000000 -10.0000000000000000))",1,1
"B",2009-03-01,2009-03-31,"POLYGON ((-10.0000000000000000 0.0000000000000000, -10.0000000000000000 5.0000000000000000, -5.0000000000000000 5.0000000000000000, -5.0000000000000000 0.0000000000000000, -10.0000000000000000 0.0000000000000000))",1,1
"B",2009-03-01,2009-03-31,"POLYGON ((40.0000000000000000 -15.0000000000000000, 40.0000000000000000 -10.0000000000000000, 45.0000000000000000 -10.0000000000000000, 45.0000000000000000 -15.0000000000000000, 40.0000000000000000 -15.0000000000000000))",1,2
"B",2009-03-01,2009-03-31,"POLYGON ((40.0000000000000000 -20.0000000000000000, 40.0000000000000000 -15.0000000000000000, 45.0000000000000000 -15.0000000000000000, 45.0000000000000000 -20.0000000000000000, 40.0000000000000000 -20.0000000000000000))",1,1
"B",2009-03-01,2009-03-31,"POLYGON ((45.0000000000000000 -15.0000000000000000, 45.0000000000000000 -10.0000000000000000, 50.0000000000000000 -10.0000000000000000, 50.0000000000000000 -15.0000000000000000, 45.0000000000000000 -15.0000000000000000))",1,1
"B",2009-03-01,2009-03-31,"POLYGON ((45.0000000000000000 -20.0000000000000000, 45.0000000000000000 -15.0000000000000000, 50.0000000000000000 -15.0000000000000000, 50.0000000000000000 -20.0000000000000000, 45.0000000000000000 -20.0000000000000000))",1,1
"B",2009-04-01,2009-04-30,"POLYGON ((40.0000000000000000 -15.0000000000000000, 40.0000000000000000 -10.0000000000000000, 45.0000000000000000 -10.0000000000000000, 45.0000000000000000 -15.0000000000000000, 40.0000000000000000 -15.0000000000000000))",1,1
"B",2009-04-01,2009-04-30,"POLYGON ((45.0000000000000000 -15.0000000000000000, 45.0000000000000000 -10.0000000000000000, 50.0000000000000000 -10.0000000000000000, 50.0000000000000000 -15.0000000000000000, 45.0000000000000000 -15.0000000000000000))",1,1
"B",2009-05-01,2009-05-31,"POLYGON ((50.0000000000000000 -10.0000000000000000, 50.0000000000000000 -5.0000000000000000, 55.0000000000000000 -5.0000000000000000, 55.0000000000000000 -10.0000000000000000, 50.0000000000000000 -10.0000000000000000))",1,1
"B",2009-05-01,2009-05-31,"POLYGON ((50.0000000000000000 -15.0000000000000000, 50.0000000000000000 -10.0000000000000000, 55.0000000000000000 -10.0000000000000000, 55.0000000000000000 -15.0000000000000000, 50.0000000000000000 -15.0000000000000000))",1,1
"B",2009-06-01,2009-06-30,"POLYGON ((10.0000000000000000 -25.0000000000000000, 10.0000000000000000 -20.0000000000000000, 15.0000000000000000 -20.0000000000000000, 15.0000000000000000 -25.0000000000000000, 10.0000000000000000 -25.0000000000000000))",1,1
"B",2009-06-01,2009-06-30,"POLYGON ((50.0000000000000000 -5.0000000000000000, 50.0000000000000000 0.0000000000000000, 55.0000000000000000 0.0000000000000000, 55.0000000000000000 -5.0000000000000000, 50.0000000000000000 -5.0000000000000000))",1,1
"B",2009-06-01,2009-06-30,"POLYGON ((5.0000000000000000 -15.0000000000000000, 5.0000000000000000 -10.0000000000000000, 10.0000000000000000 -10.0000000000000000, 10.0000000000000000 -15.0000000000000000, 5.0000000000000000 -15.0000000000000000))",1,1
"B",2009-06-01,2009-06-30,"POLYGON ((55.0000000000000000 -5.0000000000000000, 55.0000000000000000 0.0000000000000000, 60.0000000000000000 0.0000000000000000, 60.0000000000000000 -5.0000000000000000, 55.0000000000000000 -5.0000000000000000))",1,1
"B",2009-06-01,2009-06-30,"POLYGON ((65.0000000000000000 -15.0000000000000000, 65.0000000000000000 -10.0000000000000000, 70.0000000000000000 -10.0000000000000000, 70.0000000000000000 -15.0000000000000000, 65.0000000000000000 -15.0000000000000000))",1,1
"B",2009-06-01,2009-06-30,"POLYGON ((65.0000000000000000 -20.0000000000000000, 65.0000000000000000 -15.0000000000000000, 70.0000000000000000 -15.0000000000000000, 70.0000000000000000 -20.0000000000000000, 65.0000000000000000 -20.0000000000000000))",1,1
"B",2009-07-01,2009-07-31,"POLYGON ((50.0000000000000000 0.0000000000000000, 50.0000000000000000 5.0000000000000000, 55.0000000000000000 5.0000000000000000, 55.0000000000000000 0.0000000000000000, 50.0000000000000000 0.0000000000000000))",1,1
"B",2009-07-01,2009-07-31,"POLYGON ((50.0000000000000000 -5.0000000000000000, 50.0000000000000000 0.0000000000000000, 55.0000000000000000 0.0000000000000000, 55.0000000000000000 -5.0000000000000000, 50.0000000000000000 -5.0000000000000000))",1,1
"B",2009-07-01,2009-07-31,"POLYGON ((50.0000000000000000 5.0000000000000000, 50.0000000000000000 10.0000000000000000, 55.0000000000000000 10.0000000000000000, 55.0000000000000000 5.0000000000000000, 50.0000000000000000 5.0000000000000000))",1,1
"B",2009-07-01,2009-07-31,"POLYGON ((5.0000000000000000 -5.0000000000000000, 5.0000000000000000 0.0000000000000000, 10.0000000000000000 0.0000000000000000, 10.0000000000000000 -5.0000000000000000, 5.0000000000000000 -5.0000000000000000))",1,1
"B",2009-07-01,2009-07-31,"POLYGON ((-5.0000000000000000 5.0000000000000000, -5.0000000000000000 10.0000000000000000, 0.0000000000000000 10.0000000000000000, 0.0000000000000000 5.0000000000000000, -5.0000000000000000 5.0000000000000000))",1,1
"B",2009-07-01,2009-07-31,"POLYGON ((55.0000000000000000 -5.0000000000000000, 55.0000000000000000 0.0000000000000000, 60.0000000000000000 0.0000000000000000, 60.0000000000000000 -5.0000000000000000, 55.0000000000000000 -5.0000000000000000))",1,1
"B",2009-08-01,2009-08-31,"POLYGON ((45.0000000000000000 -5.0000000000000000, 45.0000000000000000 0.0000000000000000, 50.0000000000000000 0.0000000000000000, 50.0000000000000000 -5.0000000000000000, 45.0000000000000000 -5.0000000000000000))",1,1
"B",2009-08-01,2009-08-31,"POLYGON ((50.0000000000000000 0.0000000000000000, 50.0000000000000000 5.0000000000000000, 55.0000000000000000 5.0000000000000000, 55.0000000000000000 0.0000000000000000, 50.0000000000000000 0.0000000000000000))",1,5
