"fad_id","section_id","pos_id","date","lon_fad","lat_fad","fad_class"
14224,16,3533416,"2011-10-30 08:00:00",61.0302,1.97133,"W"
14226,4,3476326,"2011-05-18 17:00:00",63.3647,-6.25683,"W"
14227,21,3415433,"2011-11-10 07:00:00",57.4567,4.97333,"W"
14227,23,3394780,"2011-12-14 07:00:00",53.236,5.1405,"W"
14227,26,4310247,"2012-09-07 07:00:00",62.163,-11.6163,"W"
14228,2,3466461,"2011-07-18 11:00:00",53.7,0.336,"W"
14232,10,3455012,"2011-07-27 06:00:00",46.0577,-2.83467,"B"
14234,8,3515772,"2011-04-28 05:00:00",44.1938,-14.6122,"W"
14236,2,3501841,"2011-02-18 01:00:00",48.2175,-4.33417,"W"
14236,2,3447397,"2011-06-28 01:00:00",48.0493,-4.17833,"W"
14241,6,3539614,"2011-10-15 21:00:00",52.1955,-8.51183,"W"
14241,6,3416284,"2011-11-05 21:00:00",47.0535,-10.0547,"W"
14242,2,3539637,"2011-10-05 10:00:00",57.7342,1.10167,"W"
14250,5,4336838,"2012-05-21 16:00:00",83.6735,-2.40017,"W"
14254,15,4308645,"2013-03-16 08:00:00",52.8283,-14.9443,"W"
14255,26,4329614,"2012-02-01 19:00:00",53.171,-9.64383,"B"
14264,6,3518697,"2011-04-04 03:00:00",43.626,-12.8265,"W"
14282,7,3505405,"2011-02-26 06:00:00",50.6225,-6.07517,"W"
14282,7,3500827,"2011-02-26 15:00:00",50.7757,-6.04017,"W"
14282,7,3468601,"2011-05-11 06:00:00",63.7777,-6.9725,"W"
14284,4,3528888,"2011-04-24 01:00:00",43.1965,-7.976,"W"
14285,8,3415434,"2011-11-05 05:00:00",83.2493,1.12217,"B"
14287,4,3437537,"2011-03-15 03:00:00",55.4605,-4.62383,"B"
14287,16,4311542,"2012-09-27 12:00:00",56.2892,2.74633,"W"
14290,2,3516999,"2011-04-24 06:00:00",49.2458,-9.20017,"W"
14294,3,3455692,"2011-07-15 07:00:00",48.4905,-2.41333,"W"
14296,7,3413543,"2011-11-22 17:00:00",51.811,0.0775,"W"
14301,6,3402854,"2011-08-11 13:00:00",49.253425,-5.0932075,"B"
14306,1,3529356,"2011-04-01 07:00:00",53.8133,-3.03717,"W"
14307,11,3421023,"2011-11-24 23:00:00",43.4097,-8.70633,"W"
14309,12,4279114,"2012-02-04 17:00:00",44.2493,-4.4525,"B"
14310,5,4295220,"2012-01-15 06:00:00",62.0838,-5.92217,"W"
14316,2,3423938,"2011-03-26 23:00:00",71.995,-4.621,"W"
14322,1,3426351,"2011-03-12 16:00:00",46.609,-14.4038,"B"
14323,4,3522710,"2011-04-14 06:00:00",44.188,-14.8618,"W"
14327,1,3409812,"2011-08-14 06:00:00",59.2475,-6.35567,"W"
14328,13,4315762,"2012-07-08 08:00:00",43.5947,-15.7675,"W"
14328,13,4312781,"2012-10-20 08:00:00",43.8513,-14.3517,"W"
14328,13,4302698,"2013-01-10 08:00:00",45.6247,-12.9883,"W"
14332,2,3494005,"2011-01-15 20:00:00",52.8225,-5.81817,"W"
14332,2,3521814,"2011-04-28 20:00:00",81.678,-2.31133,"W"
14332,2,3446194,"2011-06-29 20:00:00",85.2377,-7.07967,"W"
14335,14,4309299,"2012-09-19 16:00:00",49.8635,1.23917,"W"
14335,19,4332736,"2013-01-21 16:00:00",87.8223,1.01833,"W"
14337,8,3458138,"2011-07-22 02:00:00",48.0072,-2.48017,"B"
14337,10,4287892,"2012-09-01 02:00:00",81.2052,-10.4923,"W"
14345,2,3538548,"2011-10-24 09:00:00",49.0093,-7.62433,"W"
14351,5,4331062,"2012-06-14 07:00:00",73.2393,-1.166,"W"
14357,6,3418583,"2011-11-14 05:00:00",62.1988,-0.023,"W"
14357,8,4311592,"2012-01-01 05:00:00",89.5997,0.9055,"W"
14363,6,3459960,"2011-07-13 15:00:00",50.0052,4.58817,"W"
14365,2,3515499,"2011-04-05 06:00:00",42.0183,-6.50633,"W"
14369,3,3520672,"2011-04-24 23:00:00",68.1013,-7.87433,"W"
14371,8,4292613,"2013-01-17 23:00:00",67.6247,-2.51183,"W"
14372,5,3420449,"2011-11-28 20:00:00",49.2458,-8.5085,"W"
14372,5,3398277,"2011-12-23 20:00:00",44.0608,-7.17883,"W"
14372,5,4279511,"2012-01-07 20:00:00",42.8922,-7.82467,"W"
14373,4,3537688,"2011-10-26 15:00:00",75.0222,-11.753,"W"
14373,4,3395335,"2011-12-10 15:00:00",72.7638,-13.9963,"W"
14375,6,3387125,"2011-09-12 08:00:00",51.2652,-0.824167,"W"
14375,16,4286910,"2012-07-24 08:00:00",87.7797,-14.2338,"W"
14379,9,4329207,"2012-02-26 06:00:00",54.0055,11.1525,"W"
14380,4,3385116,"2011-09-11 07:00:00",64.7867,4.28633,"W"
14387,2,3394697,"2011-12-24 09:00:00",50.6252,-2.94717,"W"
14389,2,3494201,"2011-01-10 22:00:00",56.4018,-7.125,"W"
14394,32,4303545,"2012-04-29 00:00:00",45.0247,-9.87083,"B"
14396,5,3461023,"2011-07-27 07:00:00",51.2265,8.37433,"B"
14397,14,4276727,"2013-02-08 10:00:00",76.1185,0.259,"W"
14401,7,3400240,"2011-08-28 08:00:00",47.4388,-0.0458333,"W"
14405,3,3503779,"2011-02-15 15:00:00",55.4613,-4.62133,"B"
14409,1,3439623,"2011-03-16 11:00:00",51.7448,-2.803,"B"
14413,4,3479617,"2011-05-23 23:00:00",60.9018,6.24183,"W"
14414,2,3498252,"2011-02-21 21:00:00",63.4993,-7.25217,"W"
14419,10,4283219,"2012-03-24 06:00:00",42.6293,-4.09417,"W"
14435,9,3384631,"2011-09-18 08:00:00",55.8155,10.7667,"W"
14441,2,3388887,"2011-09-07 10:00:00",50.388,0.996,"W"
14448,8,3468736,"2011-05-26 07:00:00",55.4897,-7.296,"W"
14448,12,3391883,"2011-09-23 01:00:00",48.916,-6.14517,"W"
14448,12,3418460,"2011-11-10 07:00:00",41.3797,-6.44833,"W"
14449,15,4270912,"2012-10-21 21:00:00",41.446,-9.40017,"W"
14449,15,4332400,"2012-12-18 21:00:00",45.0858,-5.26133,"W"
14453,5,4289500,"2012-01-01 00:00:00",55.4617,-4.6215,"B"
14457,15,4291228,"2012-08-22 18:00:00",51.9872,-2.74183,"W"
14461,11,3465195,"2011-07-04 04:00:00",44.4118,-0.8925,"W"
14467,2,3485838,"2011-01-19 05:00:00",60.9858,-4.071,"W"
14469,5,4312488,"2012-06-25 20:00:00",79.3317,-7.901,"W"
14469,7,4920309,"2013-04-08 20:00:00",63.1442,-13.9892,"W"
14480,7,4277142,"2012-05-25 08:00:00",44.3947,-2.59133,"W"
14482,2,3424787,"2011-03-06 20:00:00",76.6088,-5.481,"W"
14482,2,3461279,"2011-07-16 20:00:00",86.0835,-1.46333,"W"
14488,18,3442652,"2011-06-05 16:00:00",71.9652,-5.37217,"W"
14500,9,4334849,"2013-03-03 02:00:00",57.6027,-8.61,"W"
14500,10,4304599,"2013-03-24 02:00:00",58.611,-9.8055,"W"
14507,4,3427521,"2011-03-11 08:00:00",47.5842,-11.9405,"B"
14511,5,3441718,"2011-06-30 08:00:00",53.1425,9.11333,"B"
14519,17,3414800,"2011-11-19 07:00:00",56.8002,-0.358833,"W"
14523,5,3392902,"2011-12-17 09:00:00",57.3975,-4.44833,"W"
14523,6,3396648,"2011-12-18 07:00:00",57.9385,-4.7505,"B"
14523,9,4324843,"2012-05-02 07:00:00",84.6802,-1.91167,"W"
14523,9,4275933,"2012-07-28 07:00:00",93.3943,4.0405,"W"
14532,4,3526141,"2011-04-07 00:00:00",55.0163,-9.13133,"W"
14533,3,3381165,"2011-09-13 19:00:00",41.0947,-4.25467,"W"
14538,8,4324163,"2012-08-29 08:00:00",55.805,5.05433,"W"
14538,19,4918815,"2013-05-10 08:00:00",89.089,-3.32417,"W"
14542,4,3455971,"2011-07-31 08:00:00",36.9597,-18.8075,"W"
14547,2,3535329,"2011-10-05 10:00:00",60.6835,1.7355,"W"
14549,16,3515607,"2011-04-03 14:00:00",41.0963,-18.0133,"W"
14551,8,4275467,"2012-09-17 09:00:00",60.0455,1.86217,"W"
14561,2,3514427,"2011-04-25 05:00:00",66.795,-2.14633,"W"
14564,2,3539649,"2011-10-06 09:00:00",58.365,1.14133,"W"
14566,2,3398192,"2011-12-25 18:00:00",72.2958,-1.41133,"W"
14566,2,4335511,"2012-01-19 18:00:00",87.7435,-2.45933,"W"
14570,3,3521747,"2011-04-28 07:00:00",42.8127,-10.05,"W"
14589,2,3420863,"2011-11-08 00:00:00",47.5365,-6.00833,"W"
14590,2,3454643,"2011-07-04 08:00:00",54.0983,2.103,"W"
14597,8,4303139,"2012-09-28 03:00:00",63.513,6.1375,"W"
14597,8,4306387,"2012-11-01 15:00:00",70.5502,3.6275,"W"
14598,1,3404192,"2011-08-29 06:00:00",62.6135,-10.0692,"W"
14599,2,3419011,"2011-11-01 05:00:00",67.3772,-12.9835,"W"
14599,2,4302110,"2012-02-03 05:00:00",53.4255,-19.2588,"W"
