"fad_id","section","fad_class","id_point","time","geom","lon","lat"
20,17,"W",102834,2009-06-17 12:00:00,"POINT(0.00583333 0.816833)",0.00583333,0.816833
20,5,"B",83298,2009-03-25 12:00:00,"POINT(-11.8302 -0.596)",-11.8302,-0.596
20,4,"B",83298,2009-03-25 12:00:00,"POINT(-11.8302 -0.596)",-11.8302,-0.596
20,5,"B",83298,2009-03-25 12:00:00,"POINT(-11.8302 -0.596)",-11.8302,-0.596
20,12,"W",121847,2009-07-17 12:00:00,"POINT(-3.9975 4.58517)",-3.9975,4.58517
20,15,"W",121847,2009-07-17 12:00:00,"POINT(-3.9975 4.58517)",-3.9975,4.58517
20,18,"W",121847,2009-07-17 12:00:00,"POINT(-3.9975 4.58517)",-3.9975,4.58517
20,12,"W",123998,2009-07-29 12:00:00,"POINT(2.49717 4.561)",2.49717,4.561
20,15,"W",123998,2009-07-29 12:00:00,"POINT(2.49717 4.561)",2.49717,4.561
20,18,"W",123998,2009-07-29 12:00:00,"POINT(2.49717 4.561)",2.49717,4.561
20,12,"W",125054,2009-07-27 12:00:00,"POINT(2.03433 4.539)",2.03433,4.539
20,12,"W",45488,2009-08-01 12:00:00,"POINT(3.49017 4.71467)",3.49017,4.71467
20,15,"W",125054,2009-07-27 12:00:00,"POINT(2.03433 4.539)",2.03433,4.539
20,15,"W",45488,2009-08-01 12:00:00,"POINT(3.49017 4.71467)",3.49017,4.71467
20,18,"W",125054,2009-07-27 12:00:00,"POINT(2.03433 4.539)",2.03433,4.539
20,18,"W",45488,2009-08-01 12:00:00,"POINT(3.49017 4.71467)",3.49017,4.71467
20,4,"W",55110,2009-02-28 12:00:00,"POINT(-2.61183 -3.53183)",-2.61183,-3.53183
20,3,"W",55110,2009-02-28 12:00:00,"POINT(-2.61183 -3.53183)",-2.61183,-3.53183
20,4,"W",55110,2009-02-28 12:00:00,"POINT(-2.61183 -3.53183)",-2.61183,-3.53183
20,4,"W",83930,2009-03-11 12:00:00,"POINT(-3.32883 -3.21017)",-3.32883,-3.21017
20,3,"W",83930,2009-03-11 12:00:00,"POINT(-3.32883 -3.21017)",-3.32883,-3.21017
20,4,"W",83930,2009-03-11 12:00:00,"POINT(-3.32883 -3.21017)",-3.32883,-3.21017
20,1,"W",149806,2008-12-25 12:00:00,"POINT(1.653 -4.758)",1.653,-4.758
20,1,"W",149806,2008-12-25 12:00:00,"POINT(1.653 -4.758)",1.653,-4.758
20,1,"W",149806,2008-12-25 12:00:00,"POINT(1.653 -4.758)",1.653,-4.758
20,12,"W",123178,2009-07-25 12:00:00,"POINT(1.05 4.40167)",1.05,4.40167
20,15,"W",123178,2009-07-25 12:00:00,"POINT(1.05 4.40167)",1.05,4.40167
20,18,"W",123178,2009-07-25 12:00:00,"POINT(1.05 4.40167)",1.05,4.40167
20,12,"W",53313,2009-08-04 12:00:00,"POINT(4.60817 4.5685)",4.60817,4.5685
20,15,"W",53313,2009-08-04 12:00:00,"POINT(4.60817 4.5685)",4.60817,4.5685
20,18,"W",53313,2009-08-04 12:00:00,"POINT(4.60817 4.5685)",4.60817,4.5685
20,4,"W",79540,2009-03-15 12:00:00,"POINT(-3.67433 -3.54633)",-3.67433,-3.54633
